smiles,electronic_energy (Hartree),HOMO_LUMO_gap (eV),dipole_moment (Debye),crystal_density (g/cc),heat_of_formation (kcal/mol)
N#CC1Nc2c1noc2[N+](=O)[O-],0.7841871023953025,0.28007479000604524,-0.43068624693448126,0.550284619244302,1.6730879654623692
O=[N+]([O-])c1cn2cc(O)nc2[nH]1,0.7745444042156414,-1.2605896968857457,-1.0483462829192645,0.7762459604586812,0.5656857422332364
C=Nn1ncc(C=O)c1[N+](=O)[O-],0.7750424383619453,-0.10482404086213258,-0.385886754520391,-0.9862525010134876,1.078720011980958
CN=c1nc(C)onc1[N+](=O)[O-],0.7664669781901691,1.0441702468406515,0.3238913116212592,-2.100995117671096,0.8614512294910256
NC(=O)Cc1[nH]ncc1[N+](=O)[O-],0.7657602398666163,1.2626359721389793,0.4167996305086947,-0.17279167264171658,0.16889459959656553
Nc1[nH]c([N+](=O)[O-])c(O)c1C=O,0.6255304135484082,-0.3439602589293064,-0.15951842625823492,1.3788095370303635,-0.3272533872626149
O=[N+]([O-])c1ccnn2nncc12,0.9236982993631322,-0.9551653468357192,-0.374081816607527,0.4147078145156719,1.5942053481146008
CNc1c([N+](=O)[O-])ocnc1=N,0.7661185473899006,-0.4939995254066239,-0.7936263464479708,-1.1519574845706986,0.544283239152763
C#CC(=O)n1nncc1[N+](=O)[O-],0.7839322350894016,0.7569216749149558,-0.8262751496295736,-0.20291985147030067,1.4763664203352693
Nc1c([N+](=O)[O-])c[nH]c(=O)c1O,0.6254504878930329,-1.667228183941849,-1.8303863748622533,1.1679122852302748,-0.4031530046683677
CC(=O)Nc1[nH]ncc1[N+](=O)[O-],0.7657338478285644,0.43973652725506784,-0.5171734698860491,-1.0917011269135304,0.18283960282200062
C=CCOc1onnc1[N+](=O)[O-],0.6262139005668971,-0.04958393087642187,-1.1279184794783599,-1.9804824023567633,0.3194526561105193
C=Cc1cc(=O)onc1[N+](=O)[O-],0.7480633345005427,0.1467857504276204,0.07065316651978122,-1.031444769256362,0.5064950965306602
NC(=O)c1cncc([N+](=O)[O-])n1,0.7743030152418433,-0.10054738718581908,-1.7571364881477045,-0.24811211971317518,0.3485525506497594
NCc1noc([N+](=O)[O-])cc1=O,0.6262561684808622,-0.9975754957924906,-1.7908719383338385,-0.7452270703848147,0.38467188211549
O=C1CN=C2C=C([N+](=O)[O-])ON12,0.6348892699252404,-1.1194601255674137,-1.0152035492810567,0.8816945863587273,0.5806320321524948
Nc1cc(=O)[nH]c(O)c1[N+](=O)[O-],0.6253290311608253,-1.0064851909514765,-1.6269858128322385,1.604770878244746,-0.5029687719588795
Nc1ccc2c([N+](=O)[O-])non12,0.7753885054959715,-1.9241837923269942,0.7043659423442333,0.520156440415718,1.3356230594347298
Cc1cc([N+](=O)[O-])c(NO)nn1,0.7664893543246923,-0.832211553641718,-1.462902115147996,-1.4833674516851236,0.9044648370465188
O=[N+]([O-])c1c(C2CN2)n[nH]c1O,0.7662101001093735,-0.11195179698932137,-0.3352094896726989,0.007977400329788095,0.5765434448193829
C=C(C#N)n1nncc1[N+](=O)[O-],0.9238683442933291,0.885934060817067,-0.6658959303698702,-1.302598378713619,1.728461205644744
