smiles,log10h50(exp)
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])c(O)c2[N+](=O)[O-])c([N+](=O)[O-])c1,1.6232492903979006
O=[N+]([O-])c1cc([N+](=O)[O-])c(/C=N/O)c([N+](=O)[O-])c1,1.6232492903979006
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1O,1.6334684555795864
CC(CN(CCC(CCN(CC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.6434526764861874
O=C(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C(=O)NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.6532125137753437
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1.6532125137753437
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2[nH]c([N+](=O)[O-])nc2[N+](=O)[O-])c([N+](=O)[O-])c1,1.662757831681574
CC(CCN(C(=O)OCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.6720978579357175
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,1.6812412373755872
[O-][n+]1onc2c1c1no[n+]([O-])c1c1no[n+]([O-])c21,1.6989700043360187
O=[N+]([O-])c1cn(-c2ccc([N+](=O)[O-])c([N+](=O)[O-])c2)nn1,1.7075701760979363
O=[N+]([O-])NCCN(CCN(CCN[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.724275869600789
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c1[N+](=O)[O-],1.724275869600789
O=C(c1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.7323937598229686
CC(CC(CC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.7481880270062005
O=[N+]([O-])c1cc(-n2cc([N+](=O)[O-])nn2)cc([N+](=O)[O-])c1,1.7481880270062005
O=[N+]([O-])c1cnc(/N=N/c2ncc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,1.7481880270062005
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2ncnc(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1,1.7634279935629373
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2ncc([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])n2)c([N+](=O)[O-])c1,1.7634279935629373
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2cc([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c([N+](=O)[O-])c2)c([N+](=O)[O-])c1,1.7708520116421442
